,times,values
1760000,1593583120.232,8186
1760001,1593583120.234,8186
1760002,1593583120.236,8186
1760003,1593583120.238,8186
1760004,1593583120.24,8186
1760005,1593583120.242,8187
1760006,1593583120.244,8187
1760007,1593583120.246,8187
1760008,1593583120.248,8187
1760009,1593583120.25,8187
1760010,1593583120.252,8186
1760011,1593583120.254,8186
1760012,1593583120.256,8186
1760013,1593583120.258,8186
1760014,1593583120.26,8187
1760015,1593583120.262,8187
1760016,1593583120.264,8187
1760017,1593583120.266,8187
1760018,1593583120.268,8187
1760019,1593583120.27,8188
1760020,1593583120.272,8188
1760021,1593583120.274,8187
1760022,1593583120.276,8188
1760023,1593583120.278,8188
1760024,1593583120.28,8188
1760025,1593583120.282,8188
1760026,1593583120.284,8187
1760027,1593583120.286,8187
1760028,1593583120.288,8187
1760029,1593583120.29,8187
1760030,1593583120.292,8187
1760031,1593583120.294,8187
1760032,1593583120.296,8187
1760033,1593583120.298,8187
1760034,1593583120.3,8187
1760035,1593583120.302,8187
1760036,1593583120.304,8187
1760037,1593583120.306,8187
1760038,1593583120.308,8187
1760039,1593583120.31,8188
1760040,1593583120.312,8188
1760041,1593583120.314,8188
1760042,1593583120.316,8188
1760043,1593583120.318,8188
1760044,1593583120.32,8188
1760045,1593583120.322,8188
1760046,1593583120.324,8188
1760047,1593583120.326,8188
1760048,1593583120.328,8189
1760049,1593583120.33,8189
1760050,1593583120.332,8189
1760051,1593583120.334,8189
1760052,1593583120.336,8189
1760053,1593583120.338,8189
1760054,1593583120.34,8189
1760055,1593583120.342,8189
1760056,1593583120.344,8190
1760057,1593583120.346,8190
1760058,1593583120.348,8189
1760059,1593583120.35,8189
1760060,1593583120.352,8189
1760061,1593583120.354,8188
1760062,1593583120.356,8188
1760063,1593583120.358,8189
1760064,1593583120.36,8189
1760065,1593583120.362,8189
1760066,1593583120.364,8188
1760067,1593583120.366,8188
1760068,1593583120.368,8188
1760069,1593583120.37,8188
1760070,1593583120.372,8188
1760071,1593583120.374,8187
1760072,1593583120.376,8187
1760073,1593583120.378,8187
1760074,1593583120.38,8187
1760075,1593583120.382,8187
1760076,1593583120.384,8187
1760077,1593583120.386,8187
1760078,1593583120.388,8187
1760079,1593583120.39,8187
1760080,1593583120.392,8187
1760081,1593583120.394,8187
1760082,1593583120.396,8187
1760083,1593583120.398,8187
1760084,1593583120.4,8187
1760085,1593583120.402,8186
1760086,1593583120.404,8186
1760087,1593583120.406,8186
1760088,1593583120.408,8187
1760089,1593583120.41,8187
1760090,1593583120.412,8187
1760091,1593583120.414,8186
1760092,1593583120.416,8186
1760093,1593583120.418,8186
1760094,1593583120.42,8186
1760095,1593583120.422,8187
1760096,1593583120.424,8187
1760097,1593583120.426,8187
1760098,1593583120.428,8187
1760099,1593583120.43,8187
1760100,1593583120.432,8187
1760101,1593583120.434,8187
1760102,1593583120.436,8187
1760103,1593583120.438,8187
1760104,1593583120.44,8187
1760105,1593583120.442,8187
1760106,1593583120.444,8187
1760107,1593583120.446,8187
1760108,1593583120.448,8187
1760109,1593583120.45,8186
1760110,1593583120.452,8186
1760111,1593583120.454,8186
1760112,1593583120.456,8186
1760113,1593583120.458,8186
1760114,1593583120.46,8186
1760115,1593583120.462,8186
1760116,1593583120.464,8186
1760117,1593583120.466,8187
1760118,1593583120.468,8187
1760119,1593583120.47,8187
