,times,values
1760000,1608630370.688,8216
1760001,1608630370.69,8216
1760002,1608630370.692,8215
1760003,1608630370.694,8215
1760004,1608630370.696,8214
1760005,1608630370.698,8215
1760006,1608630370.7,8215
1760007,1608630370.702,8216
1760008,1608630370.704,8217
1760009,1608630370.706,8218
1760010,1608630370.708,8219
1760011,1608630370.71,8220
1760012,1608630370.712,8221
1760013,1608630370.714,8223
1760014,1608630370.716,8224
1760015,1608630370.718,8225
1760016,1608630370.72,8225
1760017,1608630370.722,8226
1760018,1608630370.724,8226
1760019,1608630370.726,8226
1760020,1608630370.728,8226
1760021,1608630370.73,8225
1760022,1608630370.732,8224
1760023,1608630370.734,8223
1760024,1608630370.736,8222
1760025,1608630370.738,8220
1760026,1608630370.74,8219
1760027,1608630370.742,8217
1760028,1608630370.744,8215
1760029,1608630370.746,8213
1760030,1608630370.748,8211
1760031,1608630370.75,8209
1760032,1608630370.752,8207
1760033,1608630370.754,8204
1760034,1608630370.756,8202
1760035,1608630370.758,8200
1760036,1608630370.76,8198
1760037,1608630370.762,8197
1760038,1608630370.764,8195
1760039,1608630370.766,8194
1760040,1608630370.768,8193
1760041,1608630370.77,8192
1760042,1608630370.772,8191
1760043,1608630370.774,8191
1760044,1608630370.776,8190
1760045,1608630370.778,8190
1760046,1608630370.78,8189
1760047,1608630370.782,8189
1760048,1608630370.784,8189
1760049,1608630370.786,8189
1760050,1608630370.788,8188
1760051,1608630370.79,8188
1760052,1608630370.792,8188
1760053,1608630370.794,8187
1760054,1608630370.796,8187
1760055,1608630370.798,8187
1760056,1608630370.8,8187
1760057,1608630370.802,8187
1760058,1608630370.804,8186
1760059,1608630370.806,8186
1760060,1608630370.808,8186
1760061,1608630370.81,8186
1760062,1608630370.812,8186
1760063,1608630370.814,8186
1760064,1608630370.816,8186
1760065,1608630370.818,8187
1760066,1608630370.82,8188
1760067,1608630370.822,8190
1760068,1608630370.824,8192
1760069,1608630370.826,8195
1760070,1608630370.828,8199
1760071,1608630370.83,8205
1760072,1608630370.832,8210
1760073,1608630370.834,8217
1760074,1608630370.836,8223
1760075,1608630370.838,8228
1760076,1608630370.84,8231
1760077,1608630370.842,8232
1760078,1608630370.844,8230
1760079,1608630370.846,8222
1760080,1608630370.848,8211
1760081,1608630370.85,8195
1760082,1608630370.852,8177
1760083,1608630370.854,8157
1760084,1608630370.856,8136
1760085,1608630370.858,8116
1760086,1608630370.86,8098
1760087,1608630370.862,8084
1760088,1608630370.864,8072
1760089,1608630370.866,8064
1760090,1608630370.868,8059
1760091,1608630370.87,8058
1760092,1608630370.872,8058
1760093,1608630370.874,8060
1760094,1608630370.876,8064
1760095,1608630370.878,8070
1760096,1608630370.88,8077
1760097,1608630370.882,8085
1760098,1608630370.884,8095
1760099,1608630370.886,8105
1760100,1608630370.888,8115
1760101,1608630370.89,8125
1760102,1608630370.892,8135
1760103,1608630370.894,8143
1760104,1608630370.896,8151
1760105,1608630370.898,8157
1760106,1608630370.9,8163
1760107,1608630370.902,8168
1760108,1608630370.904,8173
1760109,1608630370.906,8177
1760110,1608630370.908,8180
1760111,1608630370.91,8183
1760112,1608630370.912,8186
1760113,1608630370.914,8188
1760114,1608630370.916,8189
1760115,1608630370.918,8190
1760116,1608630370.92,8191
1760117,1608630370.922,8192
1760118,1608630370.924,8192
1760119,1608630370.926,8192
1760120,1608630370.928,8192
1760121,1608630370.93,8192
1760122,1608630370.932,8193
1760123,1608630370.934,8193
1760124,1608630370.936,8193
1760125,1608630370.938,8193
1760126,1608630370.94,8193
1760127,1608630370.942,8193
1760128,1608630370.944,8193
1760129,1608630370.946,8193
1760130,1608630370.948,8193
1760131,1608630370.95,8193
1760132,1608630370.952,8193
1760133,1608630370.954,8193
1760134,1608630370.956,8194
1760135,1608630370.958,8194
1760136,1608630370.96,8194
1760137,1608630370.962,8194
1760138,1608630370.964,8195
