,times,values
0,1627344000.248,2192
1,1627344000.256,2190
2,1627344000.264,2188
3,1627344000.272,2185
4,1627344000.28,2182
5,1627344000.288,2179
6,1627344000.296,2174
7,1627344000.304,2169
8,1627344000.312,2166
9,1627344000.32,2164
10,1627344000.328,2164
11,1627344000.336,2167
12,1627344000.344,2171
13,1627344000.352,2173
14,1627344000.36,2172
15,1627344000.368,2172
16,1627344000.376,2174
17,1627344000.384,2179
18,1627344000.392,2184
19,1627344000.4,2187
20,1627344000.408,2185
21,1627344000.416,2178
22,1627344000.424,2166
23,1627344000.432,2157
24,1627344000.44,2153
25,1627344000.448,2146
26,1627344000.456,2133
27,1627344000.464,2122
28,1627344000.472,2127
29,1627344000.48,2152
30,1627344000.488,2186
31,1627344000.496,2213
32,1627344000.504,2219
33,1627344000.512,2203
34,1627344000.52,2180
35,1627344000.528,2166
36,1627344000.536,2169
37,1627344000.544,2188
38,1627344000.552,2208
39,1627344000.56,2217
40,1627344000.568,2210
41,1627344000.576,2194
42,1627344000.584,2181
43,1627344000.592,2177
44,1627344000.6,2178
45,1627344000.608,2173
46,1627344000.616,2168
47,1627344000.624,2172
48,1627344000.632,2183
49,1627344000.64,2193
50,1627344000.648,2199
51,1627344000.656,2204
52,1627344000.664,2206
53,1627344000.672,2206
54,1627344000.68,2202
55,1627344000.688,2200
56,1627344000.696,2199
57,1627344000.704,2199
58,1627344000.712,2197
59,1627344000.72,2192
60,1627344000.728,2184
61,1627344000.736,2178
62,1627344000.744,2173
63,1627344000.752,2172
64,1627344000.76,2174
65,1627344000.768,2178
66,1627344000.776,2185
67,1627344000.784,2191
68,1627344000.792,2194
69,1627344000.8,2192
70,1627344000.808,2186
71,1627344000.816,2179
72,1627344000.824,2174
73,1627344000.832,2171
74,1627344000.84,2170
75,1627344000.848,2166
76,1627344000.856,2162
77,1627344000.864,2160
78,1627344000.872,2164
79,1627344000.88,2173
80,1627344000.888,2182
81,1627344000.896,2178
82,1627344000.904,2160
83,1627344000.912,2141
84,1627344000.92,2142
85,1627344000.928,2173
86,1627344000.936,2220
87,1627344000.944,2258
88,1627344000.952,2269
89,1627344000.96,2250
90,1627344000.968,2220
91,1627344000.976,2205
92,1627344000.984,2212
93,1627344000.992,2233
94,1627344001.0,2251
95,1627344001.008,2254
96,1627344001.016,2242
97,1627344001.024,2226
98,1627344001.032,2216
99,1627344001.04,2216
100,1627344001.048,2223
101,1627344001.056,2230
102,1627344001.064,2228
103,1627344001.072,2220
104,1627344001.08,2217
105,1627344001.088,2224
106,1627344001.096,2235
107,1627344001.104,2243
108,1627344001.112,2246
109,1627344001.12,2243
110,1627344001.128,2235
111,1627344001.136,2224
112,1627344001.144,2216
113,1627344001.152,2213
114,1627344001.16,2213
115,1627344001.168,2211
116,1627344001.176,2207
117,1627344001.184,2202
118,1627344001.192,2200
119,1627344001.2,2201
120,1627344001.208,2207
121,1627344001.216,2216
122,1627344001.224,2224
123,1627344001.232,2229
124,1627344001.24,2228
125,1627344001.248,2226
126,1627344001.256,2224
127,1627344001.264,2223
128,1627344001.272,2220
129,1627344001.28,2218
130,1627344001.288,2218
131,1627344001.296,2219
132,1627344001.304,2220
133,1627344001.312,2219
134,1627344001.32,2220
135,1627344001.328,2221
136,1627344001.336,2220
137,1627344001.344,2214
138,1627344001.352,2208
139,1627344001.36,2200
140,1627344001.368,2192
141,1627344001.376,2184
142,1627344001.384,2188
143,1627344001.392,2209
144,1627344001.4,2240
145,1627344001.408,2260
146,1627344001.416,2256
147,1627344001.424,2234
148,1627344001.432,2213
149,1627344001.44,2204
150,1627344001.448,2208
151,1627344001.456,2216
152,1627344001.464,2219
153,1627344001.472,2213
154,1627344001.48,2200
155,1627344001.488,2186
156,1627344001.496,2181
157,1627344001.504,2185
158,1627344001.512,2189
159,1627344001.52,2187
160,1627344001.528,2183
161,1627344001.536,2186
162,1627344001.544,2195
163,1627344001.552,2204
164,1627344001.56,2207
165,1627344001.568,2205
166,1627344001.576,2200
167,1627344001.584,2197
168,1627344001.592,2194
169,1627344001.6,2192
170,1627344001.608,2191
171,1627344001.616,2194
172,1627344001.624,2197
173,1627344001.632,2196
174,1627344001.64,2193
175,1627344001.648,2191
176,1627344001.656,2191
177,1627344001.664,2194
178,1627344001.672,2197
179,1627344001.68,2198
180,1627344001.688,2198
181,1627344001.696,2197
182,1627344001.704,2195
183,1627344001.712,2194
184,1627344001.72,2193
185,1627344001.728,2194
186,1627344001.736,2194
187,1627344001.744,2193
188,1627344001.752,2191
189,1627344001.76,2190
190,1627344001.768,2190
191,1627344001.776,2192
192,1627344001.784,2187
193,1627344001.792,2166
194,1627344001.8,2130
195,1627344001.808,2099
196,1627344001.816,2102
197,1627344001.824,2144
198,1627344001.832,2195
199,1627344001.84,2222
200,1627344001.848,2218
201,1627344001.856,2196
202,1627344001.864,2173
203,1627344001.872,2157
204,1627344001.88,2153
205,1627344001.888,2156
206,1627344001.896,2155
207,1627344001.904,2152
208,1627344001.912,2157
209,1627344001.92,2169
210,1627344001.928,2176
211,1627344001.936,2167
212,1627344001.944,2151
213,1627344001.952,2139
214,1627344001.96,2134
215,1627344001.968,2137
216,1627344001.976,2147
217,1627344001.984,2161
218,1627344001.992,2173
219,1627344002.0,2179
220,1627344002.008,2177
221,1627344002.016,2172
222,1627344002.024,2170
223,1627344002.032,2171
224,1627344002.04,2174
225,1627344002.048,2177
226,1627344002.056,2176
227,1627344002.064,2174
228,1627344002.072,2170
229,1627344002.08,2168
230,1627344002.088,2167
231,1627344002.096,2167
232,1627344002.104,2166
233,1627344002.112,2165
234,1627344002.12,2166
235,1627344002.128,2170
236,1627344002.136,2176
237,1627344002.144,2181
238,1627344002.152,2182
239,1627344002.16,2181
240,1627344002.168,2176
241,1627344002.176,2171
242,1627344002.184,2169
243,1627344002.192,2168
244,1627344002.2,2167
245,1627344002.208,2166
246,1627344002.216,2165
247,1627344002.224,2164
248,1627344002.232,2161
249,1627344002.24,2158
250,1627344002.248,2152
251,1627344002.256,2140
252,1627344002.264,2124
253,1627344002.272,2121
254,1627344002.28,2141
255,1627344002.288,2178
256,1627344002.296,2204
257,1627344002.304,2196
258,1627344002.312,2156
259,1627344002.32,2118
260,1627344002.328,2113
261,1627344002.336,2140
262,1627344002.344,2175
263,1627344002.352,2199
264,1627344002.36,2204
265,1627344002.368,2194
266,1627344002.376,2177
267,1627344002.384,2163
268,1627344002.392,2154
269,1627344002.4,2148
270,1627344002.408,2143
271,1627344002.416,2139
272,1627344002.424,2144
273,1627344002.432,2159
274,1627344002.44,2174
275,1627344002.448,2179
276,1627344002.456,2176
277,1627344002.464,2172
278,1627344002.472,2170
279,1627344002.48,2167
280,1627344002.488,2163
281,1627344002.496,2159
282,1627344002.504,2157
283,1627344002.512,2158
284,1627344002.52,2164
285,1627344002.528,2170
286,1627344002.536,2173
287,1627344002.544,2171
288,1627344002.552,2168
289,1627344002.56,2165
290,1627344002.568,2165
291,1627344002.576,2166
292,1627344002.584,2168
293,1627344002.592,2169
294,1627344002.6,2168
295,1627344002.608,2164
296,1627344002.616,2159
297,1627344002.624,2152
298,1627344002.632,2147
299,1627344002.64,2143
300,1627344002.648,2140
301,1627344002.656,2139
302,1627344002.664,2141
303,1627344002.672,2145
304,1627344002.68,2147
305,1627344002.688,2146
306,1627344002.696,2144
307,1627344002.704,2145
308,1627344002.712,2149
309,1627344002.72,2157
310,1627344002.728,2167
311,1627344002.736,2175
312,1627344002.744,2178
313,1627344002.752,2176
314,1627344002.76,2164
315,1627344002.768,2138
316,1627344002.776,2109
317,1627344002.784,2107
318,1627344002.792,2151
319,1627344002.8,2216
320,1627344002.808,2250
321,1627344002.816,2230
322,1627344002.824,2186
323,1627344002.832,2166
324,1627344002.84,2182
325,1627344002.848,2209
326,1627344002.856,2229
327,1627344002.864,2237
328,1627344002.872,2229
329,1627344002.88,2209
330,1627344002.888,2193
331,1627344002.896,2192
332,1627344002.904,2201
333,1627344002.912,2210
334,1627344002.92,2210
335,1627344002.928,2201
336,1627344002.936,2190
337,1627344002.944,2185
338,1627344002.952,2186
339,1627344002.96,2188
340,1627344002.968,2189
341,1627344002.976,2190
342,1627344002.984,2190
343,1627344002.992,2190
344,1627344003.0,2189
345,1627344003.008,2190
346,1627344003.016,2192
347,1627344003.024,2193
348,1627344003.032,2194
349,1627344003.04,2198
350,1627344003.048,2206
351,1627344003.056,2210
352,1627344003.064,2204
353,1627344003.072,2188
354,1627344003.08,2168
355,1627344003.088,2153
356,1627344003.096,2147
357,1627344003.104,2149
358,1627344003.112,2157
359,1627344003.12,2167
360,1627344003.128,2175
361,1627344003.136,2179
362,1627344003.144,2178
363,1627344003.152,2178
364,1627344003.16,2181
